id,amount,merchant,description,category,region,date
EXP004762,832.55,Apple Store,APP PURCHASE,technology,WA,2025-02-22
EXP005633,186.32,CAH Aldi #7747,SUPERMARKET,groceries,FL,2025-01-11
EXP000563,49.51,ACH McDonald's #2965,POS PURCHASE,food,FL,2025-09-27
EXP007420,71.86,Health Clinic FL,HEALTHCARE SERVICE DEBIT,healthcare,CA,2025-09-23
EXP006307,330.99,DTE Energy,AUTOPAY AUTO-PAY,utilities,NY,2025-04-03
EXP006888,21.36,AT&T ZPTRB1,UTILITY BILL,utilities,FL,2025-10-06
EXP005638,122.73,AMZN MKTP US Whole Foods #7844,SUPERMARKET DEBIT,groceries,MA,2025-02-28
EXP004701,542.91,ACH Dell #2496,APP PURCHASE,technology,NJ,2024-12-20
EXP006332,155.62,Comcast,SERVICE CHARGE POS,utilities,CA,2024-11-27
EXP005861,212.72,Kroger #6536,FRESH,groceries,TX,2024-11-15
EXP006835,96.3,AT&T,AUTOPAY,utilities,IL,2025-02-26
EXP004727,695.44,Apple Store WA,ELECTRONICS,technology,NJ,2024-12-08
EXP000504,8.59,Subway FL,Subway PURCHASE,food,WA,2025-08-05
EXP003465,15.53,Spotify #1634,FEE,entertainment,NY,2025-01-27
EXP003966,9.73,YouTube Premium #380,FEE,entertainment,WA,2025-10-24
EXP002147,57.1,Shell,FUEL CHARGE,transport,IL,2025-05-19
EXP000749,3.36,Burger King #6187,COFFEE,food,FL,2025-09-15
EXP005708,233.2,Kroger #1671,FRESH,groceries,TX,2025-03-27
EXP007202,399.59,CVS Pharmacy WA,CLINIC,healthcare,IL,2025-03-28
EXP007772,169.63,Health Clinic,PHARMACY DEBIT,healthcare,IL,2025-03-13
EXP007933,351.88,POS Health Clinic T223N5,PHARMACY,healthcare,NY,2025-09-03
EXP000889,30.25,ACH McDonalds,MOBILE ORDER,food,CA,2025-07-12
EXP006556,102.78,POS AT&T #5268,POS CHARGE,utilities,TX,2024-12-26
EXP003151,5.99,YouTube Premium #3186,FEE,entertainment,NJ,2025-05-23
EXP003719,11.7,Spotify,SUBSCRIPTION,entertainment,NJ,2025-06-19
EXP003785,17.01,POS YouTube Premium NY,SUBSCRIPTION,entertainment,IL,2025-02-13
EXP002234,16.01,Uber #8384,TOLL AUTO-PAY,transport,IL,2025-06-12
EXP003419,18.33,Netflix FAIP0L,SUBSCRIPTION,entertainment,NY,2025-03-05
EXP005383,226.18,Trader Joe's #4461,INSTORE,groceries,NY,2025-08-02
EXP005592,26.42,Trader Joe's #4182,FRESH,groceries,WA,2025-02-24
EXP000803,8.34,KFC DCA75L,INSTORE,food,TX,2025-08-16
EXP005230,63.05,lAdi #9820,DELI,groceries,NJ,2025-10-16
EXP002328,27.49,POS BP NY,RIDE,transport,TX,2025-04-02
EXP001709,201.31,Walmart #1080,RETAIL AUTO-PAY,shopping,CA,2024-11-16
EXP003775,5.5,Disney+ #5472,MONTHLY SUBSCRIPTION,entertainment,FL,2025-06-16
EXP007699,450.76,Rite Aid #7622,CLINIC,healthcare,NY,2025-04-28
EXP007609,489.24,ONLINE Walgreens,PHARMACY,healthcare,CA,2024-12-23
EXP007387,451.28,Rite Aid IL,PRESCRIPTION AUTO-PAY,healthcare,NJ,2025-05-15
EXP004539,1170.46,Google Play 5QLHW5,DEVICE,technology,MA,2025-01-31
EXP005472,56.81,Whole Foods,SUPERMARKET,groceries,NJ,2025-07-30
EXP007267,192.61,Health Clinic,PRESCRIPTION,healthcare,IL,2025-04-30
EXP000991,25.16,Burger King,INSTORE AUTO-PAY,food,TX,2025-05-05
EXP005262,220.6,Safeway,SUPERMARKET AUTO-PAY,groceries,NY,2025-04-03
EXP004575,1462.08,Dell #7130,DEVICE ONLINE,technology,MA,2024-12-08
EXP007031,133.6,ONLINE CVS Pharmacy #5490,CLINIC,healthcare,MA,2025-03-05
EXP005866,74.21,Safeway #564,DELI POS,groceries,CA,2025-04-21
EXP002233,31.73,Uber #726,RIDE AUTO-PAY,transport,NY,2024-12-10
EXP004421,1973.4,Samsung,SOFTWARE,technology,MA,2025-07-28
EXP001501,11.75,Walmart #1960,ONLINE ORDER,shopping,NJ,2024-12-09
EXP005168,179.47,Safeway,SUPERMARKET,groceries,MA,2025-03-05
EXP003375,8.24,ACH Disney+ #724,ACH CHARGE,entertainment,NY,2025-04-29
EXP002700,17.78,BP,TOLL DEBIT,transport,TX,2025-06-04
EXP005164,184.77,Kroger #5040,DELI,groceries,IL,2025-03-29
EXP005671,40.17,Kroger,DELI,groceries,CA,2024-12-10
EXP001667,348.08,Best Buy #2144,ONLINE ORDER,shopping,TX,2025-06-01
EXP004345,1076.66,Microsoft Store IL,SOFTWARE DEBIT,technology,CA,2025-05-29
EXP004181,980.81,POS Dell 4GMVD9,APP PURCHASE,technology,FL,2024-12-12
EXP007447,10.82,Walgreens IUG5V3,PRESCRIPTION AUTO-PAY,healthcare,NJ,2025-05-30
EXP001197,458.69,ONLINE eBay #5628,RETAIL,shopping,TX,2025-05-31
EXP004783,1539.82,Dell NJ,ELECTRONICS,technology,FL,2025-09-22
EXP003034,16.43,Netflix FL,SUBSCRIPTION DEBIT,entertainment,MA,2025-04-15
EXP006255,50.69,DTE Energy #5648,SERVICE CHARGE,utilities,NJ,2025-05-06
EXP005155,145.4,Trader Joe's,Trader CHARGE,groceries,IL,2025-03-23
EXP007837,405.14,Health Clinic #8166,HEALTHCARE SERVICE,healthcare,MA,2025-01-14
EXP000258,17.08,McDonalds #9n49,INSTORE AUTO-PAY,food,MA,2025-01-16
EXP002022,62.63,Lyft #3501,RIDE,transport,TX,2025-10-11
EXP002858,61.47,Shell #1425,TOLL,transport,TX,2024-11-18
EXP003508,5.58,Spotify,SUBSCRIPTION POS,entertainment,IL,2025-05-24
EXP005663,238.42,Aldi #1567,INSTORE,groceries,WA,2024-11-09
EXP005185,180.83,Safeway #5879,INSTORE,groceries,TX,2025-02-07
EXP001441,94.59,Best Buy,WEB PURCHASE DEBIT,shopping,TX,2025-06-09
EXP006442,347.18,Comcast,AUTOPAY,utilities,TX,2025-02-17
EXP007956,241.04,Walgreens #1715,CLINIC,healthcare,TX,2025-03-13
EXP007841,366.39,Health Clinic #7056,CLINIC,healthcare,FL,2024-11-24
EXP004638,859.42,Apple Stoe TX,APP PURCHASE POS,technology,NY,2025-05-09
EXP003513,13.2,Spotify #3823,STREAMING,entertainment,IL,2025-05-11
EXP000956,37.68,McDonald's #6672,COFFEE POS,food,NJ,2025-05-18
EXP005352,234.03,Safeway #7922,GROCERY,groceries,WA,2025-07-10
EXP007285,350.74,Walgreens #288,HEALTHCARE SERVICE,healthcare,CA,2025-04-25
EXP002100,35.06,DEBIT Shell,TOLL,transport,TX,2025-06-07
EXP003155,7.61,POS Netflix #8823,STREAMING,entertainment,CA,2025-05-26
EXP001997,77.7,DEBITe Bay #2530,MKTPLACE,shopping,TX,2024-12-29
EXP007410,75.08,Rite Aid MA,Rite CHARGE,healthcare,FL,2024-11-02
EXP002687,57.92,BP,TOLL,transport,NY,2025-04-09
EXP005564,82.05,WHOLE FD #9957,SUPERMARKET,groceries,WA,2024-11-24
EXP001387,33.02,ACH Walmart,WEB PURCHASE,shopping,MA,2025-05-24
EXP000561,17.3,Dominos M0KJAX,APP PURCHASE AUTO-PAY,food,FL,2025-03-20
EXP006647,223.65,ONLINE DTE Energy #7567,SERVICE CHARGE,utilities,WA,2025-10-16
EXP004430,1005.86,Samsung #7413,ELECTRONICS,technology,NJ,2025-06-19
EXP005406,52.9,Whole Foods #5117,Whole PURCHASE,groceries,WA,2025-08-08
EXP001707,311.03,Best Buy,WEB PURCHASE AUTO-PAY,shopping,NJ,2025-10-31
EXP007177,247.8,CVS Pharmacy #5083,CLINIC,healthcare,NJ,2025-07-29
EXP005500,102.32,ONLINE Safeway,FRESH DEBIT,groceries,CA,2025-08-05
EXP005144,159.83,Whole Foods #5976,Whole PURCHASE,groceries,NY,2025-04-28
EXP006025,171.83,DEBIT PG&E #2967,SERVICE CHARGE,utilities,IL,2025-07-14
EXP001146,8.41,AMZN.COM/BILL1385 #4643,ORDER,shopping,NY,2025-11-01
EXP002383,99.16,Uber,RIDE,transport,NY,2025-06-10
EXP005933,219.45,DEBIT Trader Joe's,GROCERY,groceries,FL,2025-08-18
EXP000676,6.9,CREDIT Starbucks,COFFEE,food,MA,2025-10-22
EXP002119,81.28,Uber NJ,TRIP,transport,CA,2024-11-22
EXP005422,169.49,Safeway NY,Safeway CHARGE,groceries,WA,2024-11-16
EXP000549,34.13,MCDONALDS FL,MCDONALDS CHARGE,food,TX,2025-05-19
EXP003208,19.26,Netflix #2422,STREAMING,entertainment,WA,2025-04-22
EXP003261,8.5,YouTube Premium TX,MONTHLY SUBSCRIPTION,entertainment,FL,2025-05-18
EXP002643,46.56,Shell LQSJ2Q,RIDE,transport,FL,2025-07-01
EXP006067,136.42,Verizon IL,SERVICE CHARGE,utilities,NJ,2025-06-19
EXP003120,17.86,Spotify,FEE ONLINE,entertainment,WA,2025-09-01
EXP005770,225.74,Kroger #1723,INSTORE DEBIT,groceries,MA,2025-07-20
EXP005387,170.58,POS Safweay #5898,FRESH,groceries,TX,2025-04-20
EXP000004,23.79,Subway,MEAL,food,FL,2024-11-23
EXP005052,194.92,Trader J4e's #9385,GROCERY AUTO-PAY,groceries,WA,2025-05-03
EXP006165,26.35,DEIT DTE Energy FL,UTILITY BILL,utilities,WA,2025-09-10
EXP007550,341.09,CVS Pharmacy,CVS CHARGE,healthcare,TX,2025-09-30
EXP004513,1189.95,CREDIT Samsung #9756,APP PURCHASE,technology,TX,2025-10-08
EXP004909,791.64,Dell,ELECTRONICS,technology,IL,2025-05-05
EXP002141,35.35,Taxi Co,GASOLINE DEBIT,transport,FL,2025-07-04
EXP003501,7.32,YouTube Premium #2420,SUBSCRIPTION AUTO-PAY,entertainment,CA,2025-04-13
EXP001928,16.86,eBay,MKTPLACE,shopping,TX,2024-12-16
EXP006628,142.72,DTE Energy,AUTOPAY POS,utilities,MA,2024-12-05
EXP006047,374.74,ONLINE P0&E IL,UTILITY BILL,utilities,FL,2024-12-30
EXP001105,280.11,POS Walmar t#4148,ONLINE ORDER,shopping,MA,2025-02-13
EXP007194,350.73,CVS Pharmacy #3447,PHARMACY,healthcare,WA,2025-10-25
EXP004474,1863.01,Samsung #1448,Samsung CHARGE,technology,CA,2025-07-26
EXP007295,123.3,ACH Health Clinic CA,PRESCRIPTION,healthcare,NY,2025-01-31
EXP002797,74.03,ONLINE Uber NJ,TOLL,transport,NJ,2025-04-14
EXP002354,63.79,Taxi Co 38SEOO,TOLL POS,transport,IL,2025-04-21
EXP004177,257.62,DEBIT Microsoft Store #2068,APP PURCHASE DEBIT,technology,TX,2025-03-16
EXP000067,56.89,Starbucks BB9EIT,INSTORE,food,MA,2025-01-05
EXP005096,49.25,Krgoer #7228,INSTORE AUTO-PAY,groceries,FL,2025-05-07
EXP003698,8.54,Spotify,SUBSCRIPTION,entertainment,NY,2025-01-02
EXP000614,22.8,ONLINE Starbucks,MOBILE ORDER ONLINE,food,FL,2024-11-29
EXP002431,58.5,Uber #6519,GASOLINE,transport,FL,2025-03-15
EXP004491,883.75,Apple Store #2908,APP PURCHASE,technology,FL,2025-01-15
EXP007599,272.95,Health Clinic #3616,Health CHARGE,healthcare,NJ,2024-11-01
EXP002869,42.39,Lyft WA,FUEL CHARGE,transport,IL,2025-03-01
EXP006476,248.99,Verizon,SERVICE CHARGE ONLINE,utilities,IL,2025-08-24
EXP007078,264.19,Walgreens #4713,Walgreens CHARGE,healthcare,WA,2025-05-15
EXP007024,429.08,Rite Aid #2960,HEALTHCARE SERVICE ONLINE,healthcare,NY,2025-06-06
EXP001704,295.69,AMAZON.COM*2696 #1417,WEB PURCHASE POS,shopping,NY,2025-05-27
EXP001531,71.56,Walmart,ORDER ONLINE,shopping,MA,2025-04-20
EXP002407,43.96,DEBIT Shell #5715,TRIP,transport,CA,2025-08-28
EXP005888,227.54,Aldi,FRESH,groceries,WA,2025-10-12
EXP003573,17.88,Netflix LSVOPT,SUBSCRIPTION,entertainment,MA,2024-11-08
EXP003334,12.76,YouTube Premium #9923,STREAMING,entertainment,NJ,2025-01-17
EXP002709,39.76,bUer,GASOLINE,transport,IL,2025-01-26
EXP004024,1136.98,Google Play #6244,DEVICE,technology,WA,2025-07-20
EXP003024,8.26,YouTube Premium #5175,YouTube CHARGE,entertainment,TX,2025-09-08
EXP001955,482.01,ONLINE eBay MA,MKTPLACE,shopping,NJ,2025-02-18
EXP003722,9.8,CREDIT YouTube Premium,STREAMING,entertainment,WA,2025-06-21
EXP001542,455.83,eBay IL,WEB PURCHASE,shopping,WA,2025-09-08
EXP007292,142.66,Health Clunic,PRESCRIPTION,healthcare,MA,2025-09-25
EXP003886,5.27,ACH Disney+ #6151,FEE,entertainment,NY,2025-10-31
EXP002831,39.84,DEBIT Exxon,FUEL CHARGE,transport,WA,2025-07-08
EXP004806,277.06,ONLINE Dell NY,DEVICE,technology,NJ,2024-12-17
EXP006041,182.06,Verizon #3472,SERVICE CHARGE,utilities,MA,2025-05-19
EXP002563,73.22,Exxon #8874,FUEL CHARGE,transport,MA,2025-10-23
EXP002757,27.92,Taxi Co,FUEL CHARGE,transport,TX,2025-05-03
EXP001511,182.2,DEBIT Amazon #5786,MKTPLACE,shopping,NJ,2025-06-19
EXP001517,124.93,ACH eBay #1491,WEB PURCHASE ONLINE,shopping,IL,2025-04-28
EXP004880,477.31,Dell NY,DEVICE,technology,TX,2024-12-08
EXP006304,34.1,AT&T,AT&T PURCHASE,utilities,TX,2024-12-15
EXP005836,206.25,WHOLE FD LGUZHZ,GROCERY,groceries,TX,2025-01-06
EXP005012,17.25,Aldi,FRESH,groceries,NJ,2024-12-18
EXP007009,360.73,CVS Pharmacy WA,CLINIC,healthcare,TX,2024-12-29
EXP002489,84.0,Lyft NY,RIDE,transport,MA,2025-04-21
EXP003804,18.22,ACH YouTube Premium,SUBSCRIPTION,entertainment,MA,2025-02-21
EXP000062,58.48,MCDONALDS #6494,APP PURCHASE,food,NJ,2025-06-08
EXP007220,492.21,Rite Aid #400,Rite CHARGE,healthcare,IL,2025-09-29
EXP006212,372.57,CREDIT Verizon,SERVICE CHARGE ONLINE,utilities,NJ,2025-08-01
EXP006002,130.72,Comcast NJ,SERVICE CHARGE,utilities,FL,2025-02-21
EXP004244,994.91,Microsoft Store,Microsoft PURCHASE,technology,IL,2025-08-19
EXP001011,94.33,eBay #656,ORDER,shopping,NJ,2024-12-27
EXP001473,215.03,AMAZON.COM*9636 #1694,ONLINE ORDER,shopping,MA,2025-09-05
EXP003734,15.68,Disney+ #2039,STREAMING POS,entertainment,TX,2025-01-10
EXP006390,48.26,AMZN MKTP US AT&T,BILL PAYMENT,utilities,FL,2025-10-23
EXP006547,317.06,Comcast,SERVICE CHARGE,utilities,TX,2025-09-13
EXP000575,55.35,DEBIT Starbucks MA,MEAL,food,IL,2024-11-03
EXP002260,21.92,uaxi C,GASOLINE,transport,MA,2025-10-31
EXP004599,985.21,Samsung,DEVICE,technology,IL,2025-09-08
EXP002466,92.33,BP #4662,BP CHARGE,transport,NJ,2025-10-09
EXP001574,207.14,AMZN MKTP US Target #7361,ONLINE ORDER,shopping,NJ,2024-11-24
EXP005846,17.07,Tradre Joe',INSTORE AUTO-PAY,groceries,NY,2025-06-03
EXP002669,72.21,Lyft,RIDE,transport,CA,2025-09-08
EXP003492,16.83,YouTube Premium K8OQ5G,STREAMING,entertainment,NY,2025-06-09
EXP007152,156.9,Walgreens NJ,PHARMACY,healthcare,IL,2025-03-27
EXP005031,176.07,Safeway #4834,INSTORE,groceries,NJ,2025-03-07
EXP002617,60.01,Shll MA,TOLL ONLINE,transport,CA,2025-04-12
EXP006998,173.45,DTE Energy #3404,DTE CHARGE,utilities,NY,2025-09-10
EXP007734,76.25,Rite Aid,Rite PURCHASE,healthcare,CA,2025-09-11
EXP002788,71.75,Uber #7129,TRIP,transport,IL,2025-02-14
EXP002276,60.5,BP NY,RIDE,transport,NY,2025-05-17
EXP007331,180.67,CVS Pharmacy #3466,PRESCRIPTION DEBIT,healthcare,IL,2025-02-10
EXP007301,407.94,Walgreens #7563,HEALTHCARE SERVICE,healthcare,CA,2024-11-19
EXP002182,33.42,Exxon #4120,RIDE,transport,MA,2025-09-03
EXP005148,101.31,CREDIT Whole Foods,SUPERMARKET,groceries,NJ,2025-02-25
EXP002484,31.82,BP #2446,RIDE DEBIT,transport,CA,2025-08-23
EXP004494,887.7,Microsoft Store WA,Microsoft PURCHASE,technology,NY,2025-04-15
EXP001127,174.01,CREDIT eBay,ONLINE ORDER,shopping,TX,2025-07-11
EXP004281,1621.68,Google Play,APP PURCHASE,technology,NY,2025-03-22
EXP004761,218.39,Dell #6533,SOFTWARE,technology,IL,2024-12-13
EXP005432,144.01,Tradr Joe's,INSTORE,groceries,FL,2025-05-30
EXP000687,5.5,ACH MCD #2710,POS PURCHASE,food,NJ,2025-03-29
EXP003725,19.21,Netflix,FEE,entertainment,TX,2025-10-24
EXP006433,121.03,POS Comcast# 371d,POS CHARGE,utilities,TX,2025-01-17
EXP007366,181.2,ACH Heakth Coiinc74#111,HEALTHCARE SERVICE DEBIT,healthcare,CA,2025-02-02
EXP003466,8.46,YouTube Prmuim,SUBSCRIPTION DEBIT,entertainment,NY,2025-09-12
EXP004238,372.2,DEBIT Dell UYNJV7,APP PURCHASE AUTO-PAY,technology,TX,2025-10-26
EXP004333,1479.11,POS Samsung #5110,SOFTWARE,technology,IL,2025-05-28
EXP003437,8.45,Spotify,SUBSCRIPTION,entertainment,IL,2025-10-24
EXP001388,353.12,Target,ORDER,shopping,CA,2024-12-15
EXP003928,13.72,Disney+ #418,SUBSCRIPTION,entertainment,MA,2025-01-23
EXP004927,897.76,Google Play,APP PURCHASE AUTO-PAY,technology,TX,2025-05-16
EXP003154,11.91,Disney+ #8763,MONTHLY SUBSCRIPTION,entertainment,NJ,2025-06-12
EXP003345,13.06,Disney+,SUBSCRIPTION,entertainment,WA,2024-11-01
EXP004671,1630.92,Dell #4760,APP PURCHASE,technology,NJ,2025-10-15
EXP001051,160.21,eBay,MKTPLACE,shopping,NY,2025-09-06
EXP001487,33.15,Target,Target PURCHASE,shopping,NY,2025-01-04
EXP006171,124.91,Comcast A60P1Z,UTILITY BILL,utilities,NJ,2025-02-11
EXP003343,7.03,Spotfy 7224,MONTHLY SUBSCRIPTION,entertainment,CA,2025-02-19
EXP002732,51.74,Exxon,TRIP,transport,CA,2025-06-11
EXP003986,9.61,ACH YouTube Premiu m#109o,STREAMING,entertainment,IL,2025-06-29
EXP003742,7.04,YouTube Premium,MONTHLY SUBSCRIPTION,entertainment,TX,2025-01-27
EXP000685,17.62,Subway,POS PURCHASE,food,CA,2025-08-29
EXP006829,251.72,POS PG&E #4421,BILL PAYMENT,utilities,NY,2025-10-21
EXP007715,483.94,Health Clinic #7333,HEALTHCARE SERVICE,healthcare,MA,2025-10-01
EXP007061,214.36,Rite Aid #5561,CLINIC,healthcare,NY,2025-01-18
EXP007585,265.4,CVS Pharmacy,HEALTHCARE SERVICE,healthcare,NY,2025-05-23
EXP001293,435.8,ONLINE Amazon #1826,ONLINE CHARGE,shopping,MA,2025-06-10
